provider_id,ml_score,ml_is_anomaly,vote_count,if_score,if_flag,lof_score,lof_flag,ocsvm_score,ocsvm_flag,provider_name,specialty
PRV0167,10.7,0,0,14.85,0,0.22,0,16.04,0,Lauren Jenkins,Internal Medicine
PRV0168,9.12,0,0,16.73,0,0.14,0,3.56,0,Dr. Shelby Herring MD,Pulmonology
PRV0169,12.41,0,0,19.11,0,0.5,0,13.54,0,Michael Carroll,Neurology
PRV0170,15.98,0,0,27.58,0,0.58,0,10.08,0,Justin Pittman,Psychiatry
PRV0171,12.37,0,0,18.93,0,0.39,0,13.93,0,Amber Jones,Neurology
PRV0172,3.16,0,0,4.09,0,0.06,0,5.47,0,Sandra Anderson,Family Medicine
PRV0173,19.46,0,0,32.44,0,0.09,0,16.08,0,Ms. Vanessa Nelson DDS,Dermatology
PRV0174,3.37,0,0,3.62,0,0.17,0,7.52,0,Mrs. Ashley Mitchell,Family Medicine
PRV0175,11.6,0,0,19.12,0,0.1,0,10.05,0,Amanda Harris,Radiology
PRV0176,15.42,0,0,26.19,0,0.17,0,11.38,0,Diana Hill,Gastroenterology
PRV0177,9.18,0,0,12.6,0,0.2,0,14.1,0,Beth Hernandez,Emergency Medicine
PRV0178,10.3,0,0,14.41,0,0.2,0,15.16,0,Anne Taylor,Internal Medicine
PRV0179,18.53,0,0,31.18,0,0.47,0,13.97,0,Debra Jones,Psychiatry
PRV0180,10.19,0,0,14.54,0,0.1,0,14.48,0,Tracey Ortiz,Ophthalmology
PRV0181,5.07,0,0,7.34,0,0.01,0,7.01,0,Jeffrey English,Family Medicine
PRV0182,12.93,0,0,19.37,0,0.16,0,15.98,0,Desiree Parker,Endocrinology
PRV0183,24.45,0,1,42.14,1,0.78,0,15.74,0,Deborah Lozano,OB/GYN
PRV0184,13.87,0,0,21.0,0,0.43,0,16.22,0,Marc Oneill,Neurology
PRV0185,11.41,0,0,17.83,0,0.43,0,11.84,0,Shannon White,Neurology
PRV0186,23.12,0,0,39.22,0,0.28,0,17.12,0,Evelyn Riddle,Cardiology
PRV0187,15.85,0,0,27.83,0,0.68,0,8.66,0,Victoria Bryant,Radiology
PRV0188,11.76,0,1,16.18,0,0.15,0,18.15,1,Douglas Lowe,Endocrinology
PRV0189,4.21,0,0,4.75,0,0.31,0,8.73,0,Bonnie Mitchell,Family Medicine
PRV0190,14.3,0,0,21.39,0,0.23,0,17.67,0,Margaret Carr,Emergency Medicine
PRV0191,18.92,0,0,32.02,0,0.09,0,14.4,0,Mr. Joshua Thomas,Dermatology
PRV0192,19.91,0,0,34.3,0,0.64,0,12.86,0,Edward Bentley,OB/GYN
PRV0193,10.16,0,0,13.89,0,0.15,0,15.88,0,Robert Gray,Endocrinology
PRV0194,11.21,0,0,16.3,0,0.16,0,15.06,0,Cathy Chen,Endocrinology
PRV0195,23.21,0,0,38.97,0,0.34,0,18.14,0,Scott Nichols,Cardiology
PRV0196,11.68,0,0,17.27,0,0.19,0,14.96,0,Jacob Savage,Internal Medicine
PRV0197,14.21,0,0,22.37,0,0.1,0,15.0,0,Margaret Cook,Dermatology
PRV0198,11.34,0,0,17.73,0,0.41,0,11.78,0,Lauren Hall,Neurology
PRV0199,27.61,1,2,47.23,1,0.77,0,18.8,1,Tracy Scott,OB/GYN
PRV0200,10.91,0,0,16.23,0,0.08,0,13.84,0,Michael Shelton,Emergency Medicine
PRV0201,8.89,0,0,15.01,0,0.07,0,6.85,0,Mary Hopkins,Radiology
PRV0202,6.71,0,0,8.63,0,0.12,0,11.81,0,Mark Rhodes,Ophthalmology
PRV0203,11.48,0,0,17.48,0,0.46,0,13.01,0,Joseph Townsend,Neurology
PRV0204,14.48,0,0,24.92,0,0.27,0,9.72,0,Michelle Fuller,Gastroenterology
PRV0205,9.76,0,0,17.96,0,0.13,0,3.67,0,Timothy Romero,Pulmonology
PRV0206,7.54,0,0,9.92,0,0.12,0,12.71,0,Kathryn Espinoza,Ophthalmology
PRV0207,18.25,0,0,29.63,0,0.15,0,16.97,0,Kristi Jenkins,Dermatology
PRV0208,15.66,0,0,27.64,0,0.25,0,8.82,0,David Case,Gastroenterology
PRV0209,22.78,0,0,39.36,0,0.31,0,15.03,0,Victoria Lopez,Cardiology
PRV0210,11.31,0,0,16.86,0,0.19,0,14.1,0,Shawn Callahan DDS,Internal Medicine
PRV0211,13.94,0,0,25.98,0,0.19,0,4.49,0,Kenneth Sanders,Orthopedic Surgery
PRV0212,16.34,0,0,28.07,0,0.62,0,10.57,0,Donald Barnes,Psychiatry
PRV0213,19.15,0,0,33.88,0,0.81,0,9.8,0,Megan Paul,Psychiatry
PRV0214,12.05,0,0,21.64,0,0.11,0,6.0,0,Marcus Stone,Radiology
PRV0215,22.35,0,0,38.49,0,0.73,0,14.46,0,Gerald Russell,OB/GYN
PRV0216,22.73,1,2,37.11,0,1.19,1,19.09,1,Janet Harrison,Ophthalmology
PRV0217,13.96,0,0,25.26,0,0.3,0,6.17,0,Thomas Baker,Orthopedic Surgery
PRV0218,24.93,0,1,43.18,1,0.73,0,15.59,0,Jordan Williams,OB/GYN
PRV0219,3.81,0,0,4.34,0,0.29,0,7.77,0,Stephen Rodriguez,Family Medicine
PRV0220,19.17,0,1,34.12,0,0.85,1,9.26,0,Anna Odonnell,Psychiatry
PRV0221,4.61,0,0,5.21,0,0.36,0,9.48,0,Karen Barton,Family Medicine
PRV0222,10.99,0,0,19.91,0,0.11,0,4.99,0,Stephanie Vazquez,Pulmonology
PRV0223,22.79,0,0,39.15,0,0.33,0,15.57,0,Frederick Morris,Cardiology
PRV0224,11.18,0,0,17.38,0,0.24,0,12.1,0,Joshua Flores,Emergency Medicine
PRV0225,12.22,0,0,18.8,0,0.19,0,13.83,0,Robert Johnson,Ophthalmology
PRV0226,16.6,0,0,26.17,0,0.12,0,17.42,0,Henry Richards,Dermatology
PRV0227,15.17,0,0,25.63,0,0.32,0,11.29,0,Guy Green,Gastroenterology
PRV0228,11.88,0,0,17.42,0,0.15,0,15.63,0,Samantha Thomas,Endocrinology
PRV0229,11.53,0,0,16.56,0,0.14,0,16.02,0,Dean Hall,Endocrinology
PRV0230,16.04,0,0,29.47,0,0.3,0,6.06,0,William Smith,Orthopedic Surgery
PRV0231,10.68,0,0,17.59,0,0.11,0,9.26,0,Tammy Graham,Radiology
PRV0232,22.07,0,0,41.05,0,0.52,0,6.93,0,Mark Ortiz,Orthopedic Surgery
PRV0233,13.77,0,0,21.21,0,0.18,0,15.55,0,Juan Gonzalez,Dermatology
PRV0234,11.29,0,0,17.42,0,0.02,0,12.86,0,Catherine Morris,Radiology
PRV0235,14.03,0,0,24.16,0,0.08,0,9.65,0,Brent Jenkins,Radiology
PRV0236,5.68,0,0,7.33,0,0.73,0,8.97,0,Ann Mooney,Family Medicine
PRV0237,9.9,0,0,14.33,0,0.08,0,13.54,0,Andrew Sanchez,Emergency Medicine
PRV0238,11.6,0,0,18.34,0,0.16,0,11.9,0,Christy Lowery,Emergency Medicine
PRV0239,17.11,0,0,27.23,0,0.21,0,17.16,0,Jasmine Sanchez,Dermatology
PRV0240,8.68,0,0,11.72,0,0.2,0,13.84,0,Thomas Oliver,Internal Medicine
PRV0241,20.91,0,0,35.05,0,0.29,0,16.48,0,Elizabeth Conner,Cardiology
PRV0242,13.06,0,0,24.39,0,0.29,0,3.9,0,Erika Miller,Orthopedic Surgery
PRV0243,3.78,0,0,4.55,0,0.14,0,7.32,0,Austin Jenkins,Family Medicine
PRV0244,15.93,0,0,28.28,0,0.22,0,8.64,0,Mark Walsh,Gastroenterology
PRV0245,10.8,0,0,18.81,0,0.12,0,6.79,0,Ashley Fuller,Pulmonology
PRV0246,1.71,0,0,0.87,0,0.17,0,6.14,0,Holly Martin,Family Medicine
PRV0247,22.26,0,0,37.94,0,0.28,0,16.04,0,Jesus Erickson,Cardiology
PRV0248,14.96,0,0,23.12,0,0.08,0,16.87,0,Aaron Wilcox,Dermatology
PRV0249,12.66,0,0,23.63,0,0.33,0,3.73,0,Robert Lawson,Orthopedic Surgery
PRV0250,9.86,0,0,17.03,0,0.1,0,6.55,0,Amanda Taylor,Radiology
PRV0251,15.61,0,0,25.98,0,0.09,0,12.94,0,Angela Hernandez,Radiology
PRV0252,29.82,1,3,44.25,1,5.57,1,30.15,1,Sharon Kim,Family Medicine
PRV0253,4.48,0,0,5.77,0,0.14,0,7.75,0,Hunter Snow,Family Medicine
PRV0254,11.1,0,0,16.75,0,0.16,0,13.36,0,Richard English,Internal Medicine
PRV0255,7.16,0,0,9.54,0,0.12,0,11.76,0,Daniel Wright,Ophthalmology
PRV0256,28.66,1,3,42.42,1,6.11,1,28.06,1,Michael Mckinney,Family Medicine
PRV0257,24.12,0,1,41.25,0,0.9,1,16.09,0,Stephanie Sutton,General Surgery
PRV0258,10.17,0,0,18.26,0,0.11,0,5.03,0,Robert Lewis,Pulmonology
PRV0259,2.14,0,0,1.96,0,0.11,0,5.63,0,Ricardo Edwards,Family Medicine
PRV0260,11.52,0,0,19.23,0,0.11,0,9.38,0,Teresa Wilkerson,Radiology
PRV0261,16.12,0,0,25.23,0,0.19,0,17.26,0,Alyssa Burke,Dermatology
PRV0262,22.37,0,0,38.8,0,0.07,0,14.73,0,Francisco Davis,Dermatology
PRV0263,11.51,0,0,18.88,0,0.18,0,10.08,0,Donna Jones,Radiology
PRV0264,51.93,1,3,54.07,1,20.38,1,93.93,1,Ronald Nelson,Family Medicine
PRV0265,8.88,0,0,12.7,0,0.09,0,12.54,0,Denise Williams,Emergency Medicine
PRV0266,1.67,0,0,0.93,0,0.13,0,5.8,0,Shannon Mayo,Family Medicine
PRV0267,15.03,0,0,25.42,0,0.2,0,11.29,0,Ryan Barker,Gastroenterology
PRV0268,27.76,1,3,44.9,1,2.16,1,23.29,1,Mark Mcintyre,Psychiatry
PRV0269,10.47,0,0,15.12,0,0.15,0,14.32,0,David White,Emergency Medicine
PRV0270,8.31,0,0,11.79,0,0.12,0,11.88,0,Michelle Houston,Ophthalmology
PRV0271,12.24,0,0,18.46,0,0.1,0,14.89,0,Justin Vasquez,Emergency Medicine
PRV0272,26.61,0,1,46.01,1,0.34,0,17.52,0,Angela Garcia,Cardiology
PRV0273,25.29,0,1,43.51,1,0.74,0,16.58,0,Anthony Patel,General Surgery
PRV0274,2.06,0,0,1.35,0,0.17,0,6.67,0,Jacob Smith,Family Medicine
PRV0275,9.53,0,0,13.82,0,0.21,0,12.8,0,Amy Silva,Emergency Medicine
PRV0276,15.88,0,0,24.98,0,0.12,0,16.78,0,Darius Patterson,Dermatology
PRV0277,18.92,0,0,32.09,0,0.47,0,13.68,0,Deanna Herrera,Psychiatry
PRV0278,6.21,0,0,8.23,0,0.35,0,9.93,0,Joel Thompson,Family Medicine
PRV0279,55.82,1,3,61.33,1,21.32,1,93.79,1,Nicole Thomas,Gastroenterology
PRV0280,20.11,0,1,32.61,0,0.59,0,18.14,1,Darrell Mcgrath,Ophthalmology
PRV0281,10.3,0,0,15.24,0,0.2,0,13.11,0,Bailey Johnson,Internal Medicine
PRV0282,14.06,0,0,24.25,0,0.25,0,9.31,0,Breanna Wiggins,Gastroenterology
PRV0283,21.71,0,0,36.77,0,0.3,0,16.15,0,Kristina Hicks,Cardiology
PRV0284,13.7,0,0,20.02,0,0.19,0,18.14,0,Darren West,Radiology
PRV0285,19.9,1,2,31.0,0,0.9,1,20.67,1,Taylor Navarro,Dermatology
PRV0286,14.28,0,0,21.82,0,0.09,0,16.7,0,Jamie White,Dermatology
PRV0287,8.74,0,0,12.94,0,0.12,0,11.14,0,Megan George,Emergency Medicine
PRV0288,6.15,0,0,7.37,0,0.12,0,12.16,0,Jacob Bauer,Ophthalmology
PRV0289,14.54,0,0,22.55,0,0.12,0,16.14,0,Curtis Taylor,Dermatology
PRV0290,10.73,0,0,15.67,0,0.2,0,14.15,0,Marissa Pineda,Internal Medicine
PRV0291,13.2,0,1,18.99,0,0.15,0,18.32,1,Benjamin Hayden,Endocrinology
