provider_id,provider_name,specialty,n_active_months,cusum_score,cusum_flag,spike_ratio,spike_flag,temporal_flag,estimated_exposure
PRV0207,Kristi Jenkins,Dermatology,24,1.3854,False,1.4762,False,False,41749.71
PRV0210,Shawn Callahan DDS,Internal Medicine,24,1.3834,False,1.3818,False,False,68441.78
PRV0265,Denise Williams,Emergency Medicine,24,1.3806,False,1.2571,False,False,105355.72
PRV0239,Jasmine Sanchez,Dermatology,24,1.3606,False,1.3115,False,False,54902.39
PRV0281,Bailey Johnson,Internal Medicine,24,1.3586,False,1.2982,False,False,68555.89
PRV0159,Zachary Rose,Family Medicine,24,1.3566,False,1.434,False,False,64574.21
PRV0219,Stephen Rodriguez,Family Medicine,24,1.3558,False,1.4062,False,False,74937.65
PRV0042,Courtney Torres,Neurology,24,1.3545,False,1.25,False,False,97164.28
PRV0175,Amanda Harris,Radiology,24,1.3482,False,1.4,False,False,231815.18
PRV0111,Kerri Stanley,Radiology,24,1.3441,False,1.3125,False,False,248953.62
PRV0010,Rebecca Edwards,Endocrinology,24,1.3406,False,1.2174,False,False,53188.38
PRV0234,Catherine Morris,Radiology,24,1.3345,False,1.2394,False,False,256065.74
PRV0137,Laura Marks,Dermatology,24,1.3307,False,1.3333,False,False,44230.88
PRV0041,Kimberly Norman,OB/GYN,24,1.3241,False,1.1667,False,False,112685.36
PRV0138,Lisa Cooper,OB/GYN,24,1.3155,False,1.5,False,False,115627.97
PRV0271,Justin Vasquez,Emergency Medicine,24,1.315,False,1.2113,False,False,118548.21
PRV0275,Amy Silva,Emergency Medicine,24,1.3006,False,1.5333,False,False,98281.39
PRV0280,Darrell Mcgrath,Ophthalmology,24,1.2983,False,1.381,False,False,193312.22
PRV0298,Tammy Nelson,Family Medicine,24,1.294,False,1.3651,False,False,78279.81
PRV0240,Thomas Oliver,Internal Medicine,24,1.2929,False,1.44,False,False,61562.06
PRV0005,Susan Rodriguez,Emergency Medicine,24,1.2903,False,1.5333,False,False,103243.23
PRV0267,Ryan Barker,Gastroenterology,24,1.2893,False,1.3793,False,False,122307.44
PRV0091,Michael Sanders,Gastroenterology,24,1.2872,False,1.3548,False,False,122441.59
PRV0166,Stephanie Lee,Pulmonology,24,1.2831,False,1.2632,False,False,77321.08
PRV0021,William Rice,Emergency Medicine,24,1.283,False,1.36,False,False,115186.73
PRV0090,Joshua Terry,Endocrinology,24,1.2815,False,1.4762,False,False,48132.45
PRV0057,Nancy Smith,Emergency Medicine,24,1.28,False,1.3,False,False,121927.04
PRV0244,Mark Walsh,Gastroenterology,24,1.2762,False,1.2903,False,False,125269.01
PRV0114,Dawn Flores,Cardiology,24,1.2726,False,1.2857,False,False,83039.52
PRV0039,Erica Johnson,Cardiology,24,1.2687,False,1.6154,False,False,97617.08
PRV0236,Ann Mooney,Family Medicine,24,1.2607,False,1.3913,False,False,56786.98
PRV0143,James West,Cardiology,24,1.2584,False,1.4054,False,False,73337.13
PRV0073,Matthew Sanders,Ophthalmology,24,1.2527,False,1.5238,False,False,115680.19
PRV0100,Gerald Brooks,Dermatology,24,1.2418,False,1.3333,False,False,55503.84
PRV0053,Tiffany Wagner,Radiology,24,1.2347,False,1.2903,False,False,229964.75
PRV0206,Kathryn Espinoza,Ophthalmology,24,1.231,False,1.2857,False,False,112811.92
PRV0225,Robert Johnson,Ophthalmology,24,1.2262,False,1.2963,False,False,160677.87
PRV0250,Amanda Taylor,Radiology,24,1.2185,False,1.3333,False,False,210280.37
PRV0033,Harold Rhodes,Pulmonology,24,1.2152,False,1.5758,False,False,66520.08
PRV0017,Rebecca Edwards,Psychiatry,24,1.2101,False,1.3889,False,False,52823.03
PRV0216,Janet Harrison,Ophthalmology,24,1.2098,False,1.2917,False,False,220562.11
PRV0065,Joshua Barr,Family Medicine,24,1.2089,False,1.3016,False,False,76748.64
PRV0134,Michael Erickson,Emergency Medicine,24,1.2077,False,1.4412,False,False,106460.67
PRV0140,Traci Foster,Family Medicine,24,1.2076,False,1.3929,False,False,71593.71
PRV0139,Michael Pace,Emergency Medicine,24,1.198,False,1.5,False,False,89032.22
PRV0296,Ronald Walters,Family Medicine,24,1.1934,False,1.4839,False,False,127015.28
PRV0224,Joshua Flores,Emergency Medicine,24,1.1874,False,1.4483,False,False,88985.14
PRV0108,Joseph Leblanc,Dermatology,24,1.1846,False,1.5172,False,False,56512.62
PRV0122,Robert Burns,Family Medicine,24,1.184,False,1.1594,False,False,80861.7
PRV0047,Joseph Wheeler,Cardiology,24,1.1838,False,1.6,False,False,87794.71
PRV0241,Elizabeth Conner,Cardiology,24,1.1783,False,1.35,False,False,76924.36
PRV0124,Bethany Gray,Pulmonology,24,1.1783,False,1.4118,False,False,76861.3
PRV0286,Jamie White,Dermatology,24,1.1594,False,1.5385,False,False,50308.64
PRV0228,Samantha Thomas,Endocrinology,24,1.1579,False,1.5122,False,False,46543.04
PRV0263,Donna Jones,Radiology,24,1.1568,False,1.3115,False,False,235836.1
PRV0002,Carol Holloway,Cardiology,24,1.1564,False,1.3659,False,False,85491.22
PRV0257,Stephanie Sutton,General Surgery,24,1.1551,False,1.4,False,False,180257.15
PRV0001,Kim Diaz,Endocrinology,24,1.124,False,1.4146,False,False,49266.53
PRV0127,Brian Lopez,Radiology,24,1.1129,False,1.3731,False,False,267131.3
PRV0097,Nichole Johnson,Internal Medicine,24,1.1128,False,1.451,False,False,64185.04
PRV0032,Mark Reed,Family Medicine,24,1.1116,False,1.5472,False,False,68820.41
PRV0018,Lisa Reynolds,Family Medicine,24,1.1074,False,1.3898,False,False,76868.69
PRV0261,Alyssa Burke,Dermatology,24,1.1073,False,1.4286,False,False,38788.49
PRV0278,Joel Thompson,Family Medicine,24,1.1046,False,1.2615,False,False,72824.71
PRV0248,Aaron Wilcox,Dermatology,24,1.0966,False,1.3103,False,False,52598.55
PRV0007,Hannah Powell,Cardiology,24,1.0957,False,1.5,False,False,98211.37
PRV0145,Jennifer Potter,Orthopedic Surgery,24,1.0953,False,1.2821,False,False,115100.23
PRV0269,David White,Emergency Medicine,24,1.0904,False,1.661,False,False,97860.94
PRV0034,Michelle Lee,Neurology,24,1.088,False,1.2941,False,False,102509.48
PRV0119,Caroline Bennett,Ophthalmology,24,1.0759,False,1.3061,False,False,141230.16
PRV0190,Margaret Carr,Emergency Medicine,24,1.0727,False,1.2152,False,False,126398.21
PRV0106,David Bell,Radiology,24,1.0633,False,1.5,False,False,270360.1
PRV0182,Desiree Parker,Endocrinology,24,1.0559,False,1.3333,False,False,53539.38
PRV0229,Dean Hall,Endocrinology,24,1.0556,False,1.3514,False,False,42274.62
PRV0044,Robert Farmer,Psychiatry,24,1.0542,False,1.5676,False,False,55824.41
PRV0177,Beth Hernandez,Emergency Medicine,24,1.0532,False,1.5882,False,False,107741.34
PRV0249,Robert Lawson,Orthopedic Surgery,24,1.0496,False,1.2941,False,False,100236.91
PRV0162,Taylor Perez,Orthopedic Surgery,24,1.0469,False,1.2941,False,False,118038.52
PRV0129,Kathy Hale,Internal Medicine,24,1.0449,False,1.3333,False,False,49284.92
PRV0149,Brian Williams,Endocrinology,24,1.0427,False,1.375,False,False,57814.98
PRV0198,Lauren Hall,Neurology,24,1.0401,False,1.4054,False,False,114103.75
PRV0120,Alisha Jones,Pulmonology,24,1.0367,False,1.3889,False,False,81438.32
PRV0164,Ashley Collins,Dermatology,24,1.0357,False,1.2727,False,False,41250.53
PRV0183,Deborah Lozano,OB/GYN,24,1.0352,False,1.381,False,False,135750.72
PRV0179,Debra Jones,Psychiatry,24,1.0334,False,1.6429,False,False,42970.9
PRV0094,Willie Harper,Family Medicine,24,1.0331,False,1.2698,False,False,76738.29
PRV0027,Anthony Jackson,Family Medicine,24,1.0321,False,1.3115,False,False,78900.96
PRV0020,Maria Allison,Family Medicine,24,1.0303,False,1.3333,False,False,64836.12
PRV0128,Jason Hunt,Dermatology,24,1.0285,False,1.2203,False,False,53805.64
PRV0026,Dawn Jones,OB/GYN,24,1.0266,False,1.5556,False,False,110607.89
PRV0293,Jamie Lewis,Family Medicine,24,1.0228,False,1.3333,False,False,69877.93
PRV0259,Ricardo Edwards,Family Medicine,24,1.016,False,1.5926,False,False,69995.26
PRV0116,Kimberly Johnson,Ophthalmology,24,1.0142,False,1.3725,False,False,157310.3
PRV0142,Sharon Lozano,Radiology,24,1.0142,False,1.3103,False,False,223732.09
PRV0075,Adriana York,Pulmonology,24,1.0134,False,1.3158,False,False,82449.12
PRV0186,Evelyn Riddle,Cardiology,24,0.9999,False,1.3617,False,False,95333.73
PRV0008,Rebecca Alvarado,Psychiatry,24,0.9957,False,1.2781,False,False,1029713.58
PRV0060,Robert Nunez,Endocrinology,24,0.9909,False,1.3488,False,False,49162.18
PRV0045,Robert Miller,Endocrinology,24,0.9901,False,1.3333,False,False,42651.28
PRV0272,Angela Garcia,Cardiology,24,0.9889,False,1.3889,False,False,70834.75
PRV0284,Darren West,Radiology,24,0.9862,False,1.3623,False,False,273685.7
PRV0285,Taylor Navarro,Dermatology,24,0.9853,False,1.2857,False,False,38971.32
PRV0242,Erika Miller,Orthopedic Surgery,24,0.9764,False,1.25,False,False,88440.34
PRV0251,Angela Hernandez,Radiology,24,0.9747,False,1.2754,False,False,261402.11
PRV0192,Edward Bentley,OB/GYN,24,0.9726,False,1.3143,False,False,115281.52
PRV0253,Hunter Snow,Family Medicine,24,0.9676,False,1.2923,False,False,78819.09
PRV0004,Willie Harris,Pulmonology,24,0.9667,False,1.3889,False,False,73024.62
PRV0217,Thomas Baker,Orthopedic Surgery,24,0.9572,False,1.2353,False,False,85496.59
PRV0233,Juan Gonzalez,Dermatology,24,0.9553,False,1.3333,False,False,49221.15
PRV0165,Kristin Rodriguez,General Surgery,24,0.9547,False,1.2667,False,False,163490.4
PRV0135,Theresa Brown,Internal Medicine,24,0.9525,False,1.3846,False,False,67139.05
PRV0056,Marie Gilbert,Internal Medicine,24,0.9488,False,1.283,False,False,64031.42
PRV0074,Justin Mitchell,Internal Medicine,24,0.9461,False,1.1667,False,False,55039.82
PRV0136,Amber Blevins,Family Medicine,24,0.9397,False,1.2459,False,False,74223.32
PRV0059,Michelle Lloyd,Family Medicine,24,0.9348,False,1.2,False,False,68094.82
PRV0113,Donna Hutchinson,Cardiology,24,0.932,False,1.25,False,False,73369.43
PRV0215,Gerald Russell,OB/GYN,24,0.927,False,1.35,False,False,123607.75
PRV0080,Jonathan Leonard,Neurology,24,0.9232,False,1.2105,False,False,112564.51
PRV0023,Noah Gibson PhD,Family Medicine,24,0.9227,False,1.4348,False,False,59648.24
PRV0066,Danielle Rocha,Dermatology,24,0.9162,False,1.3636,False,False,41660.23
PRV0226,Henry Richards,Dermatology,24,0.915,False,1.5,False,False,55072.97
PRV0295,Claire Saunders MD,Dermatology,24,0.9141,False,1.2281,False,False,51761.75
PRV0105,Carla Williams,General Surgery,24,0.9109,False,1.2414,False,False,158361.67
PRV0078,Amy Gill,Ophthalmology,24,0.9036,False,1.3488,False,False,121869.4
PRV0230,William Smith,Orthopedic Surgery,24,0.902,False,1.3077,False,False,75557.01
PRV0086,Ashley Glass,Cardiology,24,0.8965,False,1.1837,False,False,105405.99
PRV0218,Jordan Williams,OB/GYN,24,0.8937,False,1.2683,False,False,143281.82
PRV0156,Karen Oconnor,Endocrinology,24,0.8929,False,1.3684,False,False,44183.25
PRV0009,Linda Murray,Orthopedic Surgery,24,0.891,False,1.4375,False,False,87140.58
PRV0277,Deanna Herrera,Psychiatry,24,0.884,False,1.2857,False,False,39298.02
PRV0167,Lauren Jenkins,Internal Medicine,24,0.8831,False,1.4091,False,False,55571.47
PRV0126,Keith Joseph,Emergency Medicine,24,0.871,False,1.2727,False,False,99693.56
PRV0220,Anna Odonnell,Psychiatry,24,0.8646,False,1.2121,False,False,49078.58
PRV0054,Maria Davidson,Radiology,24,0.8547,False,1.3462,False,False,197137.09
PRV0227,Guy Green,Gastroenterology,24,0.8498,False,1.3333,False,False,140899.89
PRV0099,Dakota Morrow,Endocrinology,24,0.8403,False,1.3889,False,False,45112.43
PRV0067,Darren French,Psychiatry,24,0.8397,False,1.1429,False,False,59398.51
PRV0146,Dawn Thompson,Orthopedic Surgery,24,0.8396,False,1.2222,False,False,106647.79
PRV0061,Allison Simmons,Radiology,24,0.8372,False,1.2911,False,False,301785.46
PRV0019,Krista Parsons,Endocrinology,24,0.8333,False,1.2632,False,False,42690.68
PRV0276,Darius Patterson,Dermatology,24,0.8259,False,1.3061,False,False,46277.98
PRV0092,James Baird,Radiology,24,0.8233,False,1.2754,False,False,270529.83
PRV0058,Carla Walton,Radiology,24,0.8194,False,1.2571,False,False,279440.45
PRV0189,Bonnie Mitchell,Family Medicine,24,0.8124,False,1.2188,False,False,78478.79
PRV0181,Jeffrey English,Family Medicine,24,0.8122,False,1.3667,False,False,75518.28
PRV0031,Jessica Figueroa,Cardiology,24,0.8095,False,1.3488,False,False,85891.06
PRV0148,Dustin Walker,Neurology,24,0.802,False,1.2667,False,False,96329.45
PRV0211,Kenneth Sanders,Orthopedic Surgery,24,0.7886,False,1.3548,False,False,83572.07
PRV0038,Christopher Harrison,Internal Medicine,24,0.7882,False,1.2632,False,False,70822.57
PRV0087,Anthony Mckinney,Dermatology,24,0.7869,False,1.1864,False,False,52663.32
PRV0085,Tyler Mills,General Surgery,24,0.7855,False,1.1613,False,False,171796.95
PRV0133,Timothy Young,Pulmonology,24,0.7835,False,1.25,False,False,83638.33
PRV0083,Daniel Morrison,Internal Medicine,24,0.7799,False,1.32,False,False,60997.67
PRV0118,Stephen Schneider,Dermatology,24,0.7798,False,1.2667,False,False,56884.13
PRV0144,Cynthia Mccarthy,Pulmonology,24,0.7764,False,1.4286,False,False,73544.48
PRV0178,Anne Taylor,Internal Medicine,24,0.7751,False,1.36,False,False,63222.58
PRV0212,Donald Barnes,Psychiatry,24,0.7698,False,1.1875,False,False,46656.97
PRV0258,Robert Lewis,Pulmonology,24,0.7695,False,1.25,False,False,79340.04
PRV0062,Ashley Jackson,Emergency Medicine,24,0.7615,False,1.2424,False,False,100320.3
PRV0069,Benjamin Charles,Radiology,24,0.7566,False,1.2706,False,False,332532.41
PRV0110,Ronnie Reeves,General Surgery,24,0.7512,False,1.2121,False,False,194558.39
PRV0290,Marissa Pineda,Internal Medicine,24,0.7403,False,1.2857,False,False,68445.19
PRV0283,Kristina Hicks,Cardiology,24,0.7401,False,1.2558,False,False,91214.06
PRV0203,Joseph Townsend,Neurology,24,0.7388,False,1.25,False,False,121723.96
PRV0256,Michael Mckinney,Family Medicine,24,0.7379,False,1.3103,False,False,122292.99
PRV0152,Allison Santiago,Radiology,24,0.7328,False,1.2778,False,False,277178.98
PRV0150,David Montgomery,OB/GYN,24,0.7219,False,1.3659,False,False,129966.36
PRV0079,Lisa Sanders,Dermatology,24,0.7156,False,1.3929,False,False,51765.27
PRV0052,Lauren Garcia,Endocrinology,24,0.7119,False,1.3333,False,False,48940.12
PRV0035,Mr. Juan Moore,Pulmonology,24,0.6888,False,1.2778,False,False,72523.56
PRV0081,Benjamin Lopez,Orthopedic Surgery,24,0.68,False,1.2,False,False,92339.03
PRV0025,Heather Grant,Emergency Medicine,24,0.6729,False,1.3684,False,False,120907.16
PRV0050,David Williams,Orthopedic Surgery,24,0.6665,False,1.3125,False,False,101566.44
PRV0205,Timothy Romero,Pulmonology,24,0.6574,False,1.2857,False,False,88964.51
PRV0068,Juan Kennedy,Radiology,24,0.6537,False,1.4118,False,False,277347.89
PRV0024,Katherine Goodwin,Emergency Medicine,24,0.6417,False,1.2368,False,False,118417.08
PRV0151,Diane Gonzales,Endocrinology,24,0.6296,False,1.3043,False,False,54310.34
PRV0084,Danny Lopez,Neurology,24,0.5419,False,1.2213,False,False,2501955.96
PRV0077,Peter Brown,General Surgery,24,0.5394,False,1.2857,False,False,163273.12
PRV0185,Shannon White,Neurology,24,0.5384,False,1.2105,False,False,117538.91
PRV0204,Michelle Fuller,Gastroenterology,24,0.4938,False,1.3158,False,False,150862.57
PRV0112,Thomas Garcia,General Surgery,24,0.4898,False,1.2667,False,False,180445.61
PRV0208,David Case,Gastroenterology,24,0.4883,False,1.1579,False,False,150358.62
PRV0282,Breanna Wiggins,Gastroenterology,24,0.4501,False,1.1579,False,False,151772.95
PRV0030,Larry Ibarra,Neurology,24,0.3805,False,1.1667,False,False,104839.17
PRV0243,Austin Jenkins,Family Medicine,24,0.2804,False,1.2581,False,False,77949.38
