provider_id,provider_name,specialty,cohort_key,practice_setting,kl_divergence,cosine_distance,drift_flag,estimated_exposure
PRV0081,Benjamin Lopez,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.014833,0.011044,False,92339.03
PRV0232,Mark Ortiz,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.014362,0.010796,False,83096.83
PRV0103,Kari Hernandez,General Surgery,General Surgery | full_time,full_time,0.013382,0.014426,False,143211.12
PRV0267,Ryan Barker,Gastroenterology,Gastroenterology | full_time,full_time,0.013033,0.010428,False,122307.44
PRV0172,Sandra Anderson,Family Medicine,Family Medicine | full_time,full_time,0.011869,0.008855,False,68978.6
PRV0213,Megan Paul,Psychiatry,Psychiatry | full_time,full_time,0.011741,0.008591,False,48901.26
PRV0227,Guy Green,Gastroenterology,Gastroenterology | full_time,full_time,0.011448,0.00858,False,140899.88999999998
PRV0098,Darren Oliver,Pulmonology,Pulmonology | full_time,full_time,0.011234,0.007542,False,69346.0
PRV0299,William Bradford,Gastroenterology,Gastroenterology | full_time,full_time,0.011185,0.011832,False,144947.43
PRV0278,Joel Thompson,Family Medicine,Family Medicine | full_time,full_time,0.010863,0.008558,False,72824.71
PRV0015,Megan Reid,Family Medicine,Family Medicine | full_time,full_time,0.010822,0.008964,False,57224.03
PRV0272,Angela Garcia,Cardiology,Cardiology | full_time,full_time,0.010638,0.010328,False,70834.75
PRV0220,Anna Odonnell,Psychiatry,Psychiatry | full_time,full_time,0.010597,0.008802,False,49078.58
PRV0070,Heather Carpenter,Cardiology,Cardiology | full_time,full_time,0.010187,0.008727,False,80431.39
PRV0023,Noah Gibson PhD,Family Medicine,Family Medicine | full_time,full_time,0.009972,0.00924,False,59648.24
PRV0217,Thomas Baker,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.00977,0.006737,False,85496.59
PRV0211,Kenneth Sanders,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.009712,0.007989,False,83572.07
PRV0011,Suzanne Bryant,Family Medicine,Family Medicine | full_time,full_time,0.009655,0.009335,False,67125.91
PRV0105,Carla Williams,General Surgery,General Surgery | full_time,full_time,0.009647,0.01036,False,158361.67
PRV0223,Frederick Morris,Cardiology,Cardiology | full_time,full_time,0.009467,0.005581,False,87905.35
PRV0289,Curtis Taylor,Dermatology,Dermatology | full_time,full_time,0.009329,0.009565,False,46401.84
PRV0206,Kathryn Espinoza,Ophthalmology,Ophthalmology | full_time,full_time,0.009278,0.008297,False,112811.92
PRV0009,Linda Murray,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.009228,0.0081,False,87140.58
PRV0187,Victoria Bryant,Radiology,Radiology | full_time,full_time,0.009191,0.008287,False,202029.02
PRV0207,Kristi Jenkins,Dermatology,Dermatology | full_time,full_time,0.009083,0.007206,False,41749.71
PRV0209,Victoria Lopez,Cardiology,Cardiology | full_time,full_time,0.008981,0.005285,False,85963.3
PRV0047,Joseph Wheeler,Cardiology,Cardiology | full_time,full_time,0.008683,0.007299,False,87794.71
PRV0173,Ms. Vanessa Nelson DDS,Dermatology,Dermatology | full_time,full_time,0.008605,0.00774,False,45108.3
PRV0099,Dakota Morrow,Endocrinology,Endocrinology | full_time,full_time,0.008449,0.005669,False,45112.43
PRV0191,Mr. Joshua Thomas,Dermatology,Dermatology | full_time,full_time,0.008356,0.006492,False,41050.44
PRV0064,Brooke Gonzalez,OB/GYN,OB/GYN | full_time,full_time,0.008051,0.006952,False,114376.21
PRV0218,Jordan Williams,OB/GYN,OB/GYN | full_time,full_time,0.008027,0.007284,False,143281.82
PRV0014,Jason Delgado,Dermatology,Dermatology | full_time,full_time,0.007992,0.007567,False,48840.15
PRV0120,Alisha Jones,Pulmonology,Pulmonology | full_time,full_time,0.007927,0.007151,False,81438.32
PRV0086,Ashley Glass,Cardiology,Cardiology | full_time,full_time,0.007925,0.005464,False,105405.99
PRV0034,Michelle Lee,Neurology,Neurology | full_time,full_time,0.007867,0.006355,False,102509.48
PRV0156,Karen Oconnor,Endocrinology,Endocrinology | full_time,full_time,0.007862,0.008057,False,44183.25
PRV0037,Phillip Weber,Internal Medicine,Internal Medicine | full_time,full_time,0.007841,0.008782,False,56430.86
PRV0147,Mark Edwards,Radiology,Radiology | full_time,full_time,0.007774,0.007145,False,259607.37
PRV0138,Lisa Cooper,OB/GYN,OB/GYN | full_time,full_time,0.00776,0.007943,False,115627.97
PRV0104,Daniel Yoder,OB/GYN,OB/GYN | full_time,full_time,0.007617,0.005464,False,116228.76
PRV0114,Dawn Flores,Cardiology,Cardiology | full_time,full_time,0.007588,0.004985,False,83039.52
PRV0068,Juan Kennedy,Radiology,Radiology | full_time,full_time,0.007513,0.006603,False,277347.89
PRV0131,Elizabeth Cruz,Pulmonology,Pulmonology | full_time,full_time,0.007481,0.005258,False,79517.64
PRV0155,Tammy Fields,Family Medicine,Family Medicine | full_time,full_time,0.00735,0.008837,False,71360.64
PRV0300,Cynthia Fuentes,Family Medicine,Family Medicine | full_time,full_time,0.007344,0.006169,False,59329.14
PRV0228,Samantha Thomas,Endocrinology,Endocrinology | full_time,full_time,0.00729,0.005026,False,46543.04
PRV0094,Willie Harper,Family Medicine,Family Medicine | full_time,full_time,0.007205,0.005318,False,76738.29
PRV0091,Michael Sanders,Gastroenterology,Gastroenterology | full_time,full_time,0.007177,0.006714,False,122441.59
PRV0196,Jacob Savage,Internal Medicine,Internal Medicine | full_time,full_time,0.007056,0.00732,False,55588.82
PRV0236,Ann Mooney,Family Medicine,Family Medicine | full_time,full_time,0.007031,0.007614,False,56786.98
PRV0118,Stephen Schneider,Dermatology,Dermatology | full_time,full_time,0.00689,0.005719,False,56884.13
PRV0006,Jennifer Jones,Internal Medicine,Internal Medicine | full_time,full_time,0.006889,0.008036,False,69716.98
PRV0181,Jeffrey English,Family Medicine,Family Medicine | full_time,full_time,0.006879,0.0051,False,75518.28
PRV0031,Jessica Figueroa,Cardiology,Cardiology | full_time,full_time,0.006775,0.00609,False,85891.06
PRV0245,Ashley Fuller,Pulmonology,Pulmonology | full_time,full_time,0.006564,0.006843,False,76084.89
PRV0101,Roger Humphrey,Internal Medicine,Internal Medicine | full_time,full_time,0.006547,0.005848,False,51911.34
PRV0124,Bethany Gray,Pulmonology,Pulmonology | full_time,full_time,0.006362,0.004611,False,76861.3
PRV0199,Tracy Scott,OB/GYN,OB/GYN | full_time,full_time,0.006295,0.005536,False,82865.28
PRV0261,Alyssa Burke,Dermatology,Dermatology | full_time,full_time,0.006263,0.005116,False,38788.49
PRV0176,Diana Hill,Gastroenterology,Gastroenterology | full_time,full_time,0.006198,0.005466,False,121551.94
PRV0179,Debra Jones,Psychiatry,Psychiatry | full_time,full_time,0.006126,0.004404,False,42970.9
PRV0042,Courtney Torres,Neurology,Neurology | full_time,full_time,0.006038,0.007127,False,97164.28
PRV0210,Shawn Callahan DDS,Internal Medicine,Internal Medicine | full_time,full_time,0.00601,0.004365,False,68441.78
PRV0140,Traci Foster,Family Medicine,Family Medicine | full_time,full_time,0.006003,0.007609,False,71593.71
PRV0171,Amber Jones,Neurology,Neurology | full_time,full_time,0.005881,0.005318,False,94169.27
PRV0112,Thomas Garcia,General Surgery,General Surgery | full_time,full_time,0.005723,0.004791,False,180445.61
PRV0259,Ricardo Edwards,Family Medicine,Family Medicine | full_time,full_time,0.005621,0.005576,False,69995.26
PRV0020,Maria Allison,Family Medicine,Family Medicine | full_time,full_time,0.005549,0.005071,False,64836.12
PRV0248,Aaron Wilcox,Dermatology,Dermatology | full_time,full_time,0.005534,0.004889,False,52598.55
PRV0230,William Smith,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.005456,0.003738,False,75557.01
PRV0069,Benjamin Charles,Radiology,Radiology | full_time,full_time,0.005452,0.005172,False,332532.41
PRV0022,Patricia Williams,Dermatology,Dermatology | full_time,full_time,0.005405,0.00469,False,37903.79
PRV0258,Robert Lewis,Pulmonology,Pulmonology | full_time,full_time,0.005389,0.005142,False,79340.04
PRV0033,Harold Rhodes,Pulmonology,Pulmonology | full_time,full_time,0.005371,0.003191,False,66520.08
PRV0049,Jamie Fowler,Emergency Medicine,Emergency Medicine | full_time,full_time,0.005362,0.005127,False,96479.05
PRV0164,Ashley Collins,Dermatology,Dermatology | full_time,full_time,0.005303,0.004072,False,41250.53
PRV0132,Jose Saunders,Internal Medicine,Internal Medicine | full_time,full_time,0.005272,0.006285,False,58067.33
PRV0054,Maria Davidson,Radiology,Radiology | full_time,full_time,0.005232,0.004887,False,197137.09
PRV0242,Erika Miller,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.005171,0.005725,False,88440.34
PRV0222,Stephanie Vazquez,Pulmonology,Pulmonology | full_time,full_time,0.005139,0.004974,False,71869.82
PRV0050,David Williams,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.00511,0.00255,False,101566.44
PRV0074,Justin Mitchell,Internal Medicine,Internal Medicine | full_time,full_time,0.005082,0.003577,False,55039.82
PRV0273,Anthony Patel,General Surgery,General Surgery | full_time,full_time,0.005053,0.003784,False,129541.95
PRV0148,Dustin Walker,Neurology,Neurology | full_time,full_time,0.005053,0.004702,False,96329.45
PRV0247,Jesus Erickson,Cardiology,Cardiology | full_time,full_time,0.005027,0.0018,False,100143.64
PRV0143,James West,Cardiology,Cardiology | full_time,full_time,0.005015,0.005045,False,73337.13
PRV0276,Darius Patterson,Dermatology,Dermatology | full_time,full_time,0.004985,0.005199,False,46277.98
PRV0048,Charles Trevino,Radiology,Radiology | full_time,full_time,0.004972,0.004926,False,205107.87
PRV0102,Joshua Miller,Pulmonology,Pulmonology | full_time,full_time,0.004949,0.003022,False,58495.0
PRV0283,Kristina Hicks,Cardiology,Cardiology | full_time,full_time,0.004934,0.004627,False,91214.06
PRV0080,Jonathan Leonard,Neurology,Neurology | full_time,full_time,0.004932,0.004154,False,112564.51
PRV0168,Dr. Shelby Herring MD,Pulmonology,Pulmonology | full_time,full_time,0.004858,0.00476,False,92074.27
PRV0233,Juan Gonzalez,Dermatology,Dermatology | full_time,full_time,0.004845,0.004569,False,49221.15
PRV0260,Teresa Wilkerson,Radiology,Radiology | full_time,full_time,0.004673,0.004151,False,215970.57
PRV0174,Mrs. Ashley Mitchell,Family Medicine,Family Medicine | full_time,full_time,0.004517,0.003607,False,63569.44
PRV0007,Hannah Powell,Cardiology,Cardiology | full_time,full_time,0.004479,0.002617,False,98211.37
PRV0076,Jacob Saunders,Ophthalmology,Ophthalmology | full_time,full_time,0.004435,0.003089,False,138211.95
PRV0165,Kristin Rodriguez,General Surgery,General Surgery | full_time,full_time,0.00443,0.003925,False,163490.4
PRV0293,Jamie Lewis,Family Medicine,Family Medicine | full_time,full_time,0.004412,0.003615,False,69877.93
PRV0240,Thomas Oliver,Internal Medicine,Internal Medicine | full_time,full_time,0.004381,0.003274,False,61562.06
PRV0027,Anthony Jackson,Family Medicine,Family Medicine | full_time,full_time,0.004376,0.003904,False,78900.96
PRV0184,Marc Oneill,Neurology,Neurology | full_time,full_time,0.004353,0.003747,False,89868.08
PRV0253,Hunter Snow,Family Medicine,Family Medicine | full_time,full_time,0.004348,0.003476,False,78819.09
PRV0160,Charles Maldonado,Ophthalmology,Ophthalmology | full_time,full_time,0.004336,0.00499,False,107943.74
PRV0241,Elizabeth Conner,Cardiology,Cardiology | full_time,full_time,0.004274,0.003043,False,76924.36
PRV0249,Robert Lawson,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.004186,0.003119,False,100236.91
PRV0083,Daniel Morrison,Internal Medicine,Internal Medicine | full_time,full_time,0.004099,0.003454,False,60997.67
PRV0212,Donald Barnes,Psychiatry,Psychiatry | full_time,full_time,0.003968,0.003892,False,46656.97
PRV0030,Larry Ibarra,Neurology,Neurology | full_time,full_time,0.003942,0.003823,False,104839.17
PRV0100,Gerald Brooks,Dermatology,Dermatology | full_time,full_time,0.003927,0.00313,False,55503.84
PRV0175,Amanda Harris,Radiology,Radiology | full_time,full_time,0.003911,0.004041,False,231815.18
PRV0016,Dustin Chavez,Dermatology,Dermatology | full_time,full_time,0.003881,0.003155,False,48934.82
PRV0113,Donna Hutchinson,Cardiology,Cardiology | full_time,full_time,0.003855,0.001088,False,73369.43000000001
PRV0072,Amy Pierce,Internal Medicine,Internal Medicine | full_time,full_time,0.00381,0.002732,False,53447.58
PRV0159,Zachary Rose,Family Medicine,Family Medicine | full_time,full_time,0.003807,0.003876,False,64574.21
PRV0178,Anne Taylor,Internal Medicine,Internal Medicine | full_time,full_time,0.00376,0.002857,False,63222.58
PRV0040,Margaret Parker,Ophthalmology,Ophthalmology | full_time,full_time,0.003759,0.002597,False,125279.6
PRV0135,Theresa Brown,Internal Medicine,Internal Medicine | full_time,full_time,0.003729,0.002638,False,67139.05
PRV0163,Mark Lozano,Emergency Medicine,Emergency Medicine | full_time,full_time,0.003713,0.001999,False,103981.95
PRV0192,Edward Bentley,OB/GYN,OB/GYN | full_time,full_time,0.003703,0.003643,False,115281.52
PRV0251,Angela Hernandez,Radiology,Radiology | full_time,full_time,0.003702,0.003485,False,261402.11
PRV0270,Michelle Houston,Ophthalmology,Ophthalmology | full_time,full_time,0.003671,0.003,False,124278.12
PRV0244,Mark Walsh,Gastroenterology,Gastroenterology | full_time,full_time,0.003633,0.002929,False,125269.01
PRV0085,Tyler Mills,General Surgery,General Surgery | full_time,full_time,0.003633,0.002985,False,171796.95
PRV0109,Jennifer Gonzalez,Radiology,Radiology | full_time,full_time,0.003626,0.00341,False,236373.13
PRV0003,Richard Dorsey,Endocrinology,Endocrinology | full_time,full_time,0.003624,0.002477,False,38543.21
PRV0121,Michael Reyes,Ophthalmology,Ophthalmology | full_time,full_time,0.003611,0.003469,False,126230.79
PRV0238,Christy Lowery,Emergency Medicine,Emergency Medicine | full_time,full_time,0.003608,0.002111,False,86592.41
PRV0129,Kathy Hale,Internal Medicine,Internal Medicine | full_time,full_time,0.003599,0.003322,False,49284.92
PRV0271,Justin Vasquez,Emergency Medicine,Emergency Medicine | full_time,full_time,0.003523,0.002577,False,118548.21
PRV0285,Taylor Navarro,Dermatology,Dermatology | full_time,full_time,0.003514,0.002774,False,38971.32
PRV0150,David Montgomery,OB/GYN,OB/GYN | full_time,full_time,0.003507,0.00292,False,129966.36
PRV0116,Kimberly Johnson,Ophthalmology,Ophthalmology | full_time,full_time,0.003502,0.002759,False,157310.3
PRV0079,Lisa Sanders,Dermatology,Dermatology | full_time,full_time,0.003478,0.00288,False,51765.27
PRV0110,Ronnie Reeves,General Surgery,General Surgery | full_time,full_time,0.003475,0.002689,False,194558.39
PRV0266,Shannon Mayo,Family Medicine,Family Medicine | full_time,full_time,0.003413,0.003787,False,67984.56
PRV0254,Richard English,Internal Medicine,Internal Medicine | full_time,full_time,0.003378,0.003708,False,59325.68
PRV0229,Dean Hall,Endocrinology,Endocrinology | full_time,full_time,0.003364,0.002351,False,42274.62
PRV0216,Janet Harrison,Ophthalmology,Ophthalmology | full_time,full_time,0.00336,0.002382,False,220562.11
PRV0149,Brian Williams,Endocrinology,Endocrinology | full_time,full_time,0.003348,0.002886,False,57814.98
PRV0295,Claire Saunders MD,Dermatology,Dermatology | full_time,full_time,0.003347,0.00246,False,51761.75
PRV0044,Robert Farmer,Psychiatry,Psychiatry | full_time,full_time,0.003198,0.003529,False,55824.41
PRV0059,Michelle Lloyd,Family Medicine,Family Medicine | full_time,full_time,0.003195,0.003156,False,68094.82
PRV0035,Mr. Juan Moore,Pulmonology,Pulmonology | full_time,full_time,0.00319,0.003299,False,72523.56
PRV0144,Cynthia Mccarthy,Pulmonology,Pulmonology | full_time,full_time,0.003147,0.003334,False,73544.48
PRV0062,Ashley Jackson,Emergency Medicine,Emergency Medicine | full_time,full_time,0.003098,0.002492,False,100320.3
PRV0061,Allison Simmons,Radiology,Radiology | full_time,full_time,0.003089,0.002849,False,301785.46
PRV0234,Catherine Morris,Radiology,Radiology | full_time,full_time,0.003086,0.003002,False,256065.74
PRV0205,Timothy Romero,Pulmonology,Pulmonology | full_time,full_time,0.003057,0.002961,False,88964.51
PRV0166,Stephanie Lee,Pulmonology,Pulmonology | full_time,full_time,0.00304,0.003023,False,77321.08
PRV0153,Joel Harper,Ophthalmology,Ophthalmology | full_time,full_time,0.002849,0.003021,False,103339.25
PRV0089,Erin Hale,Family Medicine,Family Medicine | full_time,full_time,0.002847,0.002613,False,57973.33
PRV0137,Laura Marks,Dermatology,Dermatology | full_time,full_time,0.002811,0.002225,False,44230.88
PRV0063,Susan Mccoy,Family Medicine,Family Medicine | full_time,full_time,0.002808,0.002151,False,58843.89
PRV0219,Stephen Rodriguez,Family Medicine,Family Medicine | full_time,full_time,0.002791,0.002759,False,74937.65
PRV0092,James Baird,Radiology,Radiology | full_time,full_time,0.002761,0.002574,False,270529.83
PRV0263,Donna Jones,Radiology,Radiology | full_time,full_time,0.002751,0.002781,False,235836.1
PRV0053,Tiffany Wagner,Radiology,Radiology | full_time,full_time,0.00275,0.00225,False,229964.75
PRV0010,Rebecca Edwards,Endocrinology,Endocrinology | full_time,full_time,0.002717,0.002011,False,53188.38
PRV0291,Benjamin Hayden,Endocrinology,Endocrinology | full_time,full_time,0.002702,0.001699,False,39828.16
PRV0225,Robert Johnson,Ophthalmology,Ophthalmology | full_time,full_time,0.002698,0.001728,False,160677.87
PRV0180,Tracey Ortiz,Ophthalmology,Ophthalmology | full_time,full_time,0.002695,0.001276,False,98732.41
PRV0108,Joseph Leblanc,Dermatology,Dermatology | full_time,full_time,0.002685,0.002304,False,56512.62
PRV0067,Darren French,Psychiatry,Psychiatry | full_time,full_time,0.002683,0.002282,False,59398.51
PRV0051,Christy Nichols,Emergency Medicine,Emergency Medicine | full_time,full_time,0.002676,0.001298,False,97644.25
PRV0282,Breanna Wiggins,Gastroenterology,Gastroenterology | full_time,full_time,0.002667,0.002156,False,151772.95
PRV0004,Willie Harris,Pulmonology,Pulmonology | full_time,full_time,0.002658,0.001798,False,73024.62
PRV0265,Denise Williams,Emergency Medicine,Emergency Medicine | full_time,full_time,0.002615,0.001932,False,105355.72
PRV0126,Keith Joseph,Emergency Medicine,Emergency Medicine | full_time,full_time,0.002614,0.002192,False,99693.56
PRV0077,Peter Brown,General Surgery,General Surgery | full_time,full_time,0.002556,0.001939,False,163273.12
PRV0235,Brent Jenkins,Radiology,Radiology | full_time,full_time,0.002518,0.002466,False,225601.5
PRV0214,Marcus Stone,Radiology,Radiology | full_time,full_time,0.002499,0.002606,False,209648.59
PRV0157,Kenneth Mcclure,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.002482,0.002737,False,80360.0
PRV0154,Sara Sims,Radiology,Radiology | full_time,full_time,0.002442,0.002582,False,244721.17
PRV0197,Margaret Cook,Dermatology,Dermatology | full_time,full_time,0.002439,0.002368,False,44358.2
PRV0208,David Case,Gastroenterology,Gastroenterology | full_time,full_time,0.002434,0.002047,False,150358.62
PRV0123,Jennifer Chavez,Ophthalmology,Ophthalmology | full_time,full_time,0.002408,0.001168,False,106893.58
PRV0056,Marie Gilbert,Internal Medicine,Internal Medicine | full_time,full_time,0.002403,0.002221,False,64031.42
PRV0073,Matthew Sanders,Ophthalmology,Ophthalmology | full_time,full_time,0.002393,0.001228,False,115680.19
PRV0288,Jacob Bauer,Ophthalmology,Ophthalmology | full_time,full_time,0.002387,0.001984,False,124075.55
PRV0106,David Bell,Radiology,Radiology | full_time,full_time,0.002375,0.002196,False,270360.1
PRV0287,Megan George,Emergency Medicine,Emergency Medicine | full_time,full_time,0.002357,0.001777,False,101264.31
PRV0185,Shannon White,Neurology,Neurology | full_time,full_time,0.002353,0.002368,False,117538.91
PRV0195,Scott Nichols,Cardiology,Cardiology | full_time,full_time,0.00235,0.001161,False,73257.29
PRV0019,Krista Parsons,Endocrinology,Endocrinology | full_time,full_time,0.002339,0.00166,False,42690.68
PRV0017,Rebecca Edwards,Psychiatry,Psychiatry | full_time,full_time,0.002321,0.0026,False,52823.03
PRV0292,Cynthia Douglas,Psychiatry,Psychiatry | full_time,full_time,0.002311,0.002025,False,49404.52
PRV0290,Marissa Pineda,Internal Medicine,Internal Medicine | full_time,full_time,0.002249,0.001715,False,68445.19
PRV0115,Maria Weaver,OB/GYN,OB/GYN | full_time,full_time,0.002221,0.002547,False,114531.13
PRV0167,Lauren Jenkins,Internal Medicine,Internal Medicine | full_time,full_time,0.002201,0.001847,False,55571.47
PRV0128,Jason Hunt,Dermatology,Dermatology | full_time,full_time,0.002185,0.001959,False,53805.64
PRV0018,Lisa Reynolds,Family Medicine,Family Medicine | full_time,full_time,0.002168,0.001804,False,76868.69
PRV0198,Lauren Hall,Neurology,Neurology | full_time,full_time,0.002163,0.001885,False,114103.75
PRV0274,Jacob Smith,Family Medicine,Family Medicine | full_time,full_time,0.002134,0.002093,False,64688.91
PRV0221,Karen Barton,Family Medicine,Family Medicine | full_time,full_time,0.002118,0.001837,False,78291.94
PRV0146,Dawn Thompson,Orthopedic Surgery,Orthopedic Surgery | full_time,full_time,0.002113,0.00122,False,106647.79
PRV0005,Susan Rodriguez,Emergency Medicine,Emergency Medicine | full_time,full_time,0.002103,0.001569,False,103243.23
PRV0136,Amber Blevins,Family Medicine,Family Medicine | full_time,full_time,0.002075,0.002037,False,74223.32
PRV0298,Tammy Nelson,Family Medicine,Family Medicine | full_time,full_time,0.002062,0.002118,False,78279.81
PRV0284,Darren West,Radiology,Radiology | full_time,full_time,0.002049,0.00191,False,273685.7
PRV0152,Allison Santiago,Radiology,Radiology | full_time,full_time,0.002044,0.002083,False,277178.98
PRV0071,Timothy Shelton,OB/GYN,OB/GYN | full_time,full_time,0.002035,0.001853,False,118701.0
PRV0204,Michelle Fuller,Gastroenterology,Gastroenterology | full_time,full_time,0.001982,0.001502,False,150862.57
PRV0036,Sarah Long,Emergency Medicine,Emergency Medicine | full_time,full_time,0.001978,0.001543,False,95711.32
PRV0119,Caroline Bennett,Ophthalmology,Ophthalmology | full_time,full_time,0.001927,0.001242,False,141230.16
PRV0169,Michael Carroll,Neurology,Neurology | full_time,full_time,0.001897,0.001573,False,114503.95
PRV0096,William Nunez,Ophthalmology,Ophthalmology | full_time,full_time,0.00189,0.001454,False,109446.2
PRV0142,Sharon Lozano,Radiology,Radiology | full_time,full_time,0.001863,0.001706,False,223732.09
PRV0226,Henry Richards,Dermatology,Dermatology | full_time,full_time,0.001815,0.001728,False,55072.97
PRV0130,Maureen Arnold,Ophthalmology,Ophthalmology | full_time,full_time,0.001799,0.001887,False,109899.14
PRV0097,Nichole Johnson,Internal Medicine,Internal Medicine | full_time,full_time,0.001788,0.001578,False,64185.04
PRV0250,Amanda Taylor,Radiology,Radiology | full_time,full_time,0.001753,0.001551,False,210280.37
PRV0231,Tammy Graham,Radiology,Radiology | full_time,full_time,0.001738,0.001588,False,214306.26
PRV0117,Ross Donovan,Emergency Medicine,Emergency Medicine | full_time,full_time,0.001722,0.001218,False,116709.59
PRV0257,Stephanie Sutton,General Surgery,General Surgery | full_time,full_time,0.001721,0.001309,False,180257.15
PRV0065,Joshua Barr,Family Medicine,Family Medicine | full_time,full_time,0.001712,0.001364,False,76748.64
PRV0201,Mary Hopkins,Radiology,Radiology | full_time,full_time,0.001658,0.001631,False,221313.14
PRV0186,Evelyn Riddle,Cardiology,Cardiology | full_time,full_time,0.001654,0.001278,False,95333.73
PRV0139,Michael Pace,Emergency Medicine,Emergency Medicine | full_time,full_time,0.001632,0.001062,False,89032.22
PRV0001,Kim Diaz,Endocrinology,Endocrinology | full_time,full_time,0.001626,0.001471,False,49266.53
PRV0028,Cheryl Cisneros,Ophthalmology,Ophthalmology | full_time,full_time,0.001625,0.001576,False,111909.63
PRV0111,Kerri Stanley,Radiology,Radiology | full_time,full_time,0.001616,0.001598,False,248953.62
PRV0122,Robert Burns,Family Medicine,Family Medicine | full_time,full_time,0.001532,0.001945,False,80861.7
PRV0280,Darrell Mcgrath,Ophthalmology,Ophthalmology | full_time,full_time,0.001488,0.000646,False,193312.22
PRV0066,Danielle Rocha,Dermatology,Dermatology | full_time,full_time,0.001461,0.001303,False,41660.23
PRV0029,Sherry Spencer,Pulmonology,Pulmonology | full_time,full_time,0.001458,0.001187,False,74803.2
PRV0183,Deborah Lozano,OB/GYN,OB/GYN | full_time,full_time,0.001453,0.001453,False,135750.72
PRV0087,Anthony Mckinney,Dermatology,Dermatology | full_time,full_time,0.001426,0.000984,False,52663.32
PRV0013,Lisa Ray,Emergency Medicine,Emergency Medicine | full_time,full_time,0.001397,0.001038,False,100473.89
PRV0281,Bailey Johnson,Internal Medicine,Internal Medicine | full_time,full_time,0.001382,0.001005,False,68555.89
PRV0141,Michelle Johnson,Radiology,Radiology | full_time,full_time,0.00128,0.001294,False,224313.78
PRV0075,Adriana York,Pulmonology,Pulmonology | full_time,full_time,0.001273,0.001287,False,82449.12
PRV0239,Jasmine Sanchez,Dermatology,Dermatology | full_time,full_time,0.001265,0.000948,False,54902.39
PRV0133,Timothy Young,Pulmonology,Pulmonology | full_time,full_time,0.00123,0.001167,False,83638.33
PRV0058,Carla Walton,Radiology,Radiology | full_time,full_time,0.001199,0.001124,False,279440.45
PRV0286,Jamie White,Dermatology,Dermatology | full_time,full_time,0.001179,0.001247,False,50308.64
PRV0134,Michael Erickson,Emergency Medicine,Emergency Medicine | full_time,full_time,0.001156,0.000863,False,106460.67
PRV0246,Holly Martin,Family Medicine,Family Medicine | full_time,full_time,0.001135,0.000946,False,65901.53
PRV0093,Lucas Hamilton,Ophthalmology,Ophthalmology | full_time,full_time,0.001109,0.000631,False,126295.95
PRV0107,Matthew Cross,Radiology,Radiology | full_time,full_time,0.001101,0.00118,False,249339.42
